Frequency,BORROWERS_CTY,Borrowers' country,Borrowing sector,Lending sector,VALUATION,Valuation method,Quaterlly_per_year,Total_Credit__all_Sec
Quarterly,HK,Hong Kong SAR,General government,All sectors,N,Nominal value,2017-Q3,71.0
Quarterly,HK,Hong Kong SAR,Households & NPISHs,All sectors,M,Market value,2017-Q3,69.5
Quarterly,HK,Hong Kong SAR,Non-financial corporations,All sectors,M,Market value,2017-Q3,265.3
Quarterly,HK,Hong Kong SAR,Private non-financial sector,All sectors,M,Market value,2017-Q3,334.9
Quarterly,HU,Hungary,Non financial sector,All sectors,M,Market value,2017-Q3,164.6
Quarterly,HU,Hungary,General government,All sectors,M,Market value,2017-Q3,78.8
Quarterly,HU,Hungary,General government,All sectors,N,Nominal value,2017-Q3,71.0
Quarterly,HU,Hungary,Households & NPISHs,All sectors,M,Market value,2017-Q3,19.3
Quarterly,HU,Hungary,Non-financial corporations,All sectors,M,Market value,2017-Q3,66.6
Quarterly,HU,Hungary,Private non-financial sector,All sectors,M,Market value,2017-Q3,85.9
Quarterly,ID,Indonesia,Non financial sector,All sectors,M,Market value,2017-Q3,70.5
Quarterly,ID,Indonesia,General government,All sectors,N,Nominal value,2017-Q3,29.0
Quarterly,ID,Indonesia,Households & NPISHs,All sectors,M,Market value,2017-Q3,16.8
Quarterly,ID,Indonesia,Non-financial corporations,All sectors,M,Market value,2017-Q3,24.6
Quarterly,ID,Indonesia,Private non-financial sector,All sectors,M,Market value,2017-Q3,41.5
Quarterly,IE,Ireland,Non financial sector,All sectors,M,Market value,2017-Q3,358.4
Quarterly,IE,Ireland,General government,All sectors,M,Market value,2017-Q3,78.9
Quarterly,IE,Ireland,General government,All sectors,N,Nominal value,2017-Q3,72.8
Quarterly,IE,Ireland,Households & NPISHs,All sectors,M,Market value,2017-Q3,48.5
Quarterly,IE,Ireland,Non-financial corporations,All sectors,M,Market value,2017-Q3,231.0
Quarterly,IE,Ireland,Private non-financial sector,All sectors,M,Market value,2017-Q3,279.5
Quarterly,IL,Israel,Non financial sector,All sectors,M,Market value,2017-Q3,177.7
Quarterly,IL,Israel,General government,All sectors,M,Market value,2017-Q3,66.8
Quarterly,IL,Israel,General government,All sectors,N,Nominal value,2017-Q3,60.3
Quarterly,IL,Israel,Households & NPISHs,All sectors,M,Market value,2017-Q3,41.1
Quarterly,IL,Israel,Non-financial corporations,All sectors,M,Market value,2017-Q3,69.8
Quarterly,IL,Israel,Private non-financial sector,All sectors,M,Market value,2017-Q3,110.9
Quarterly,IN,India,Non financial sector,All sectors,M,Market value,2017-Q3,159.2
Quarterly,IN,India,General government,All sectors,N,Nominal value,2017-Q3,69.5
Quarterly,IN,India,Households & NPISHs,All sectors,M,Market value,2017-Q3,32.7
Quarterly,IN,India,Non-financial corporations,All sectors,M,Market value,2017-Q3,57.0
Quarterly,IN,India,Private non-financial sector,All sectors,M,Market value,2017-Q3,89.7
Quarterly,IT,Italy,Non financial sector,All sectors,M,Market value,2017-Q3,260.7
Quarterly,IT,Italy,General government,All sectors,M,Market value,2017-Q3,148.6
Quarterly,IT,Italy,General government,All sectors,N,Nominal value,2017-Q3,136.8
Quarterly,IT,Italy,Households & NPISHs,All sectors,M,Market value,2017-Q3,40.8
Quarterly,IT,Italy,Non-financial corporations,All sectors,M,Market value,2017-Q3,71.3
Quarterly,IT,Italy,Private non-financial sector,All sectors,M,Market value,2017-Q3,112.0
Quarterly,JP,Japan,Non financial sector,All sectors,M,Market value,2017-Q3,366.8
Quarterly,JP,Japan,General government,All sectors,M,Market value,2017-Q3,211.1
Quarterly,JP,Japan,General government,All sectors,N,Nominal value,2017-Q3,199.3
Quarterly,JP,Japan,Households & NPISHs,All sectors,M,Market value,2017-Q3,60.1
Quarterly,JP,Japan,Non-financial corporations,All sectors,M,Market value,2017-Q3,95.6
Quarterly,JP,Japan,Private non-financial sector,All sectors,M,Market value,2017-Q3,155.7
Quarterly,KR,Korea,Non financial sector,All sectors,M,Market value,2017-Q3,219.0
Quarterly,KR,Korea,General government,All sectors,M,Market value,2017-Q3,36.8
Quarterly,KR,Korea,Households & NPISHs,All sectors,M,Market value,2017-Q3,88.5
Quarterly,KR,Korea,Non-financial corporations,All sectors,M,Market value,2017-Q3,93.7
Quarterly,KR,Korea,Private non-financial sector,All sectors,M,Market value,2017-Q3,182.2
Quarterly,LU,Luxembourg,Non financial sector,All sectors,M,Market value,2017-Q3,392.9
Quarterly,LU,Luxembourg,General government,All sectors,M,Market value,2017-Q3,23.7
Quarterly,LU,Luxembourg,General government,All sectors,N,Nominal value,2017-Q3,22.2
Quarterly,LU,Luxembourg,Households & NPISHs,All sectors,M,Market value,2017-Q3,63.2
Quarterly,LU,Luxembourg,Non-financial corporations,All sectors,M,Market value,2017-Q3,306.1
Quarterly,LU,Luxembourg,Private non-financial sector,All sectors,M,Market value,2017-Q3,369.2
Quarterly,MX,Mexico,Non financial sector,All sectors,M,Market value,2017-Q3,76.5
Quarterly,MX,Mexico,General government,All sectors,N,Nominal value,2017-Q3,35.4
Quarterly,MX,Mexico,Households & NPISHs,All sectors,M,Market value,2017-Q3,16.0
Quarterly,MX,Mexico,Non-financial corporations,All sectors,M,Market value,2017-Q3,25.1
Quarterly,MX,Mexico,Private non-financial sector,All sectors,M,Market value,2017-Q3,41.1
Quarterly,MY,Malaysia,Non financial sector,All sectors,M,Market value,2017-Q3,183.1
Quarterly,MY,Malaysia,General government,All sectors,N,Nominal value,2017-Q3,51.1
Quarterly,MY,Malaysia,Households & NPISHs,All sectors,M,Market value,2017-Q3,66.3
Quarterly,MY,Malaysia,Non-financial corporations,All sectors,M,Market value,2017-Q3,65.8
Quarterly,MY,Malaysia,Private non-financial sector,All sectors,M,Market value,2017-Q3,132.1
Quarterly,NL,Netherlands,Non financial sector,All sectors,M,Market value,2017-Q3,344.0
Quarterly,NL,Netherlands,General government,All sectors,M,Market value,2017-Q3,64.4
Quarterly,NL,Netherlands,General government,All sectors,N,Nominal value,2017-Q3,57.2
Quarterly,NL,Netherlands,Households & NPISHs,All sectors,M,Market value,2017-Q3,108.9
Quarterly,NL,Netherlands,Non-financial corporations,All sectors,M,Market value,2017-Q3,170.7
Quarterly,NL,Netherlands,Private non-financial sector,All sectors,M,Market value,2017-Q3,279.6
Quarterly,NO,Norway,Non financial sector,All sectors,M,Market value,2017-Q3,281.8
Quarterly,NO,Norway,General government,All sectors,M,Market value,2017-Q3,37.2
Quarterly,NO,Norway,General government,All sectors,N,Nominal value,2017-Q3,36.4
Quarterly,NO,Norway,Households & NPISHs,All sectors,M,Market value,2017-Q3,100.8
Quarterly,NO,Norway,Non-financial corporations,All sectors,M,Market value,2017-Q3,143.8
Quarterly,NO,Norway,Private non-financial sector,All sectors,M,Market value,2017-Q3,244.6
Quarterly,NZ,New Zealand,Non financial sector,All sectors,M,Market value,2017-Q3,205.8
Quarterly,NZ,New Zealand,General government,All sectors,N,Nominal value,2017-Q3,30.8
Quarterly,NZ,New Zealand,Households & NPISHs,All sectors,M,Market value,2017-Q3,91.3
Quarterly,NZ,New Zealand,Non-financial corporations,All sectors,M,Market value,2017-Q3,83.6
Quarterly,NZ,New Zealand,Private non-financial sector,All sectors,M,Market value,2017-Q3,175.0
Quarterly,PL,Poland,Non financial sector,All sectors,M,Market value,2017-Q3,137.1
Quarterly,PL,Poland,General government,All sectors,M,Market value,2017-Q3,53.8
Quarterly,PL,Poland,General government,All sectors,N,Nominal value,2017-Q3,51.9
Quarterly,PL,Poland,Households & NPISHs,All sectors,M,Market value,2017-Q3,35.5
Quarterly,PL,Poland,Non-financial corporations,All sectors,M,Market value,2017-Q3,47.7
Quarterly,PL,Poland,Private non-financial sector,All sectors,M,Market value,2017-Q3,83.3
Quarterly,PT,Portugal,Non financial sector,All sectors,M,Market value,2017-Q3,318.3
Quarterly,PT,Portugal,General government,All sectors,M,Market value,2017-Q3,139.6
Quarterly,PT,Portugal,General government,All sectors,N,Nominal value,2017-Q3,131.0
Quarterly,PT,Portugal,Households & NPISHs,All sectors,M,Market value,2017-Q3,69.9
Quarterly,PT,Portugal,Non-financial corporations,All sectors,M,Market value,2017-Q3,108.8
Quarterly,PT,Portugal,Private non-financial sector,All sectors,M,Market value,2017-Q3,178.7
Quarterly,RU,Russia,Non financial sector,All sectors,M,Market value,2017-Q3,114.6
Quarterly,RU,Russia,General government,All sectors,N,Nominal value,2017-Q3,16.0
Quarterly,RU,Russia,Households & NPISHs,All sectors,M,Market value,2017-Q3,15.9
Quarterly,RU,Russia,Non-financial corporations,All sectors,M,Market value,2017-Q3,82.8
Quarterly,RU,Russia,Private non-financial sector,All sectors,M,Market value,2017-Q3,98.7
Quarterly,SA,Saudi Arabia,Non financial sector,All sectors,M,Market value,2017-Q3,81.0
Quarterly,SA,Saudi Arabia,General government,All sectors,N,Nominal value,2017-Q3,16.2
Quarterly,SA,Saudi Arabia,Households & NPISHs,All sectors,M,Market value,2017-Q3,14.1
Quarterly,SA,Saudi Arabia,Non-financial corporations,All sectors,M,Market value,2017-Q3,50.7
Quarterly,SA,Saudi Arabia,Private non-financial sector,All sectors,M,Market value,2017-Q3,64.8
Quarterly,SE,Sweden,Non financial sector,All sectors,M,Market value,2017-Q3,281.3
Quarterly,SE,Sweden,General government,All sectors,M,Market value,2017-Q3,42.2
Quarterly,SE,Sweden,General government,All sectors,N,Nominal value,2017-Q3,39.7
Quarterly,SE,Sweden,Households & NPISHs,All sectors,M,Market value,2017-Q3,87.0
Quarterly,SE,Sweden,Non-financial corporations,All sectors,M,Market value,2017-Q3,152.0
Quarterly,SE,Sweden,Private non-financial sector,All sectors,M,Market value,2017-Q3,239.1
Quarterly,SG,Singapore,Non financial sector,All sectors,M,Market value,2017-Q3,306.2
Quarterly,SG,Singapore,General government,All sectors,N,Nominal value,2017-Q3,106.8
Quarterly,SG,Singapore,Households & NPISHs,All sectors,M,Market value,2017-Q3,62.5
Quarterly,SG,Singapore,Non-financial corporations,All sectors,M,Market value,2017-Q3,135.0
Quarterly,SG,Singapore,Private non-financial sector,All sectors,M,Market value,2017-Q3,199.4
Quarterly,TH,Thailand,Non financial sector,All sectors,M,Market value,2017-Q3,185.4
Quarterly,TH,Thailand,General government,All sectors,N,Nominal value,2017-Q3,32.5
Quarterly,TH,Thailand,Households & NPISHs,All sectors,M,Market value,2017-Q3,78.1
Quarterly,TH,Thailand,Non-financial corporations,All sectors,M,Market value,2017-Q3,74.8
Quarterly,TH,Thailand,Private non-financial sector,All sectors,M,Market value,2017-Q3,152.9
Quarterly,TR,Turkey,Non financial sector,All sectors,M,Market value,2017-Q3,111.6
Quarterly,TR,Turkey,General government,All sectors,M,Market value,2017-Q3,28.4
Quarterly,TR,Turkey,General government,All sectors,N,Nominal value,2017-Q3,27.8
Quarterly,TR,Turkey,Households & NPISHs,All sectors,M,Market value,2017-Q3,17.2
Quarterly,TR,Turkey,Non-financial corporations,All sectors,M,Market value,2017-Q3,66.0
Quarterly,TR,Turkey,Private non-financial sector,All sectors,M,Market value,2017-Q3,83.2
Quarterly,US,United States,Non financial sector,All sectors,M,Market value,2017-Q3,251.0
Quarterly,US,United States,General government,All sectors,M,Market value,2017-Q3,99.2
Quarterly,US,United States,General government,All sectors,N,Nominal value,2017-Q3,97.0
Quarterly,US,United States,Households & NPISHs,All sectors,M,Market value,2017-Q3,77.6
Quarterly,US,United States,Non-financial corporations,All sectors,M,Market value,2017-Q3,74.2
Quarterly,US,United States,Private non-financial sector,All sectors,M,Market value,2017-Q3,151.8
Quarterly,XM,Euro area,Non financial sector,All sectors,M,Market value,2017-Q3,264.8
Quarterly,XM,Euro area,General government,All sectors,M,Market value,2017-Q3,100.6
Quarterly,XM,Euro area,General government,All sectors,N,Nominal value,2017-Q3,89.6
Quarterly,XM,Euro area,Households & NPISHs,All sectors,M,Market value,2017-Q3,57.9
Quarterly,XM,Euro area,Non-financial corporations,All sectors,M,Market value,2017-Q3,106.3
Quarterly,XM,Euro area,Private non-financial sector,All sectors,M,Market value,2017-Q3,164.2
Quarterly,ZA,South Africa,Non financial sector,All sectors,M,Market value,2017-Q3,123.7
Quarterly,ZA,South Africa,General government,All sectors,N,Nominal value,2017-Q3,50.1
Quarterly,ZA,South Africa,Households & NPISHs,All sectors,M,Market value,2017-Q3,34.7
Quarterly,ZA,South Africa,Non-financial corporations,All sectors,M,Market value,2017-Q3,38.9
Quarterly,ZA,South Africa,Private non-financial sector,All sectors,M,Market value,2017-Q3,73.6
Quarterly,4T,Emerging market economies (aggregate),Non financial sector,All sectors,M,Market value,2017-Q4,200.3
Quarterly,4T,Emerging market economies (aggregate),General government,All sectors,N,Nominal value,2017-Q4,50.9
Quarterly,4T,Emerging market economies (aggregate),Households & NPISHs,All sectors,M,Market value,2017-Q4,42.2
Quarterly,4T,Emerging market economies (aggregate),Non-financial corporations,All sectors,M,Market value,2017-Q4,106.9
Quarterly,4T,Emerging market economies (aggregate),Private non-financial sector,All sectors,M,Market value,2017-Q4,149.1
Quarterly,5A,All reporting economies,Non financial sector,All sectors,M,Market value,2017-Q4,247.4
Quarterly,5A,All reporting economies,General government,All sectors,M,Market value,2017-Q4,86.6
Quarterly,5A,All reporting economies,General government,All sectors,N,Nominal value,2017-Q4,82.0
Quarterly,5A,All reporting economies,Households & NPISHs,All sectors,M,Market value,2017-Q4,63.0
Quarterly,5A,All reporting economies,Non-financial corporations,All sectors,M,Market value,2017-Q4,97.8
Quarterly,5A,All reporting economies,Private non-financial sector,All sectors,M,Market value,2017-Q4,160.8
Quarterly,5R,Advanced economies,Non financial sector,All sectors,M,Market value,2017-Q4,276.9
Quarterly,5R,Advanced economies,General government,All sectors,M,Market value,2017-Q4,108.8
Quarterly,5R,Advanced economies,General government,All sectors,N,Nominal value,2017-Q4,101.4
Quarterly,5R,Advanced economies,Households & NPISHs,All sectors,M,Market value,2017-Q4,75.9
Quarterly,5R,Advanced economies,Non-financial corporations,All sectors,M,Market value,2017-Q4,92.2
Quarterly,5R,Advanced economies,Private non-financial sector,All sectors,M,Market value,2017-Q4,168.1
Quarterly,AR,Argentina,Non financial sector,All sectors,M,Market value,2017-Q4,83.9
Quarterly,AR,Argentina,General government,All sectors,N,Nominal value,2017-Q4,59.0
Quarterly,AR,Argentina,Households & NPISHs,All sectors,M,Market value,2017-Q4,6.9
Quarterly,AR,Argentina,Non-financial corporations,All sectors,M,Market value,2017-Q4,17.8
Quarterly,AR,Argentina,Private non-financial sector,All sectors,M,Market value,2017-Q4,24.9
Quarterly,AT,Austria,Non financial sector,All sectors,M,Market value,2017-Q4,230.8
Quarterly,AT,Austria,General government,All sectors,M,Market value,2017-Q4,89.3
Quarterly,AT,Austria,General government,All sectors,N,Nominal value,2017-Q4,78.5
Quarterly,AT,Austria,Households & NPISHs,All sectors,M,Market value,2017-Q4,49.5
Quarterly,AT,Austria,Non-financial corporations,All sectors,M,Market value,2017-Q4,92.0
Quarterly,AT,Austria,Private non-financial sector,All sectors,M,Market value,2017-Q4,141.5
Quarterly,AU,Australia,Non financial sector,All sectors,M,Market value,2017-Q4,236.6
Quarterly,AU,Australia,General government,All sectors,M,Market value,2017-Q4,40.9
Quarterly,AU,Australia,General government,All sectors,N,Nominal value,2017-Q4,38.0
Quarterly,AU,Australia,Households & NPISHs,All sectors,M,Market value,2017-Q4,123.0
Quarterly,AU,Australia,Non-financial corporations,All sectors,M,Market value,2017-Q4,72.8
Quarterly,AU,Australia,Private non-financial sector,All sectors,M,Market value,2017-Q4,195.7
Quarterly,BE,Belgium,Non financial sector,All sectors,M,Market value,2017-Q4,332.4
Quarterly,BE,Belgium,General government,All sectors,M,Market value,2017-Q4,116.6
Quarterly,BE,Belgium,General government,All sectors,N,Nominal value,2017-Q4,102.0
Quarterly,BE,Belgium,Households & NPISHs,All sectors,M,Market value,2017-Q4,59.3
Quarterly,BE,Belgium,Non-financial corporations,All sectors,M,Market value,2017-Q4,156.4
Quarterly,BE,Belgium,Private non-financial sector,All sectors,M,Market value,2017-Q4,215.8
Quarterly,BR,Brazil,Non financial sector,All sectors,M,Market value,2017-Q4,155.2
Quarterly,BR,Brazil,General government,All sectors,N,Nominal value,2017-Q4,82.8
Quarterly,BR,Brazil,Households & NPISHs,All sectors,M,Market value,2017-Q4,27.9
Quarterly,BR,Brazil,Non-financial corporations,All sectors,M,Market value,2017-Q4,44.5
Quarterly,BR,Brazil,Private non-financial sector,All sectors,M,Market value,2017-Q4,72.4
Quarterly,CA,Canada,Non financial sector,All sectors,M,Market value,2017-Q4,300.0
Quarterly,CA,Canada,General government,All sectors,M,Market value,2017-Q4,86.3
Quarterly,CA,Canada,General government,All sectors,N,Nominal value,2017-Q4,81.0
Quarterly,CA,Canada,Households & NPISHs,All sectors,M,Market value,2017-Q4,103.6
Quarterly,CA,Canada,Non-financial corporations,All sectors,M,Market value,2017-Q4,110.1
Quarterly,CA,Canada,Private non-financial sector,All sectors,M,Market value,2017-Q4,213.7
Quarterly,CH,Switzerland,Non financial sector,All sectors,M,Market value,2017-Q4,281.4
Quarterly,CH,Switzerland,General government,All sectors,M,Market value,2017-Q4,31.3
Quarterly,CH,Switzerland,General government,All sectors,N,Nominal value,2017-Q4,28.1
Quarterly,CH,Switzerland,Households & NPISHs,All sectors,M,Market value,2017-Q4,126.2
Quarterly,CH,Switzerland,Non-financial corporations,All sectors,M,Market value,2017-Q4,124.0
Quarterly,CH,Switzerland,Private non-financial sector,All sectors,M,Market value,2017-Q4,250.2
Quarterly,CL,Chile,Non financial sector,All sectors,M,Market value,2017-Q4,162.4
Quarterly,CL,Chile,General government,All sectors,M,Market value,2017-Q4,25.1
Quarterly,CL,Chile,General government,All sectors,N,Nominal value,2017-Q4,23.7
Quarterly,CL,Chile,Households & NPISHs,All sectors,M,Market value,2017-Q4,43.8
Quarterly,CL,Chile,Non-financial corporations,All sectors,M,Market value,2017-Q4,93.5
Quarterly,CL,Chile,Private non-financial sector,All sectors,M,Market value,2017-Q4,137.4
Quarterly,CN,China,Non financial sector,All sectors,M,Market value,2017-Q4,256.2
Quarterly,CN,China,General government,All sectors,N,Nominal value,2017-Q4,51.6
Quarterly,CN,China,Households & NPISHs,All sectors,M,Market value,2017-Q4,48.1
Quarterly,CN,China,Non-financial corporations,All sectors,M,Market value,2017-Q4,156.4
Quarterly,CN,China,Private non-financial sector,All sectors,M,Market value,2017-Q4,204.5
Quarterly,CO,Colombia,Non financial sector,All sectors,M,Market value,2017-Q4,112.3
Quarterly,CO,Colombia,General government,All sectors,N,Nominal value,2017-Q4,50.0
Quarterly,CO,Colombia,Households & NPISHs,All sectors,M,Market value,2017-Q4,26.959
Quarterly,CO,Colombia,Non-financial corporations,All sectors,M,Market value,2017-Q4,35.335
Quarterly,CO,Colombia,Private non-financial sector,All sectors,M,Market value,2017-Q4,62.3
Quarterly,CZ,Czechia,Non financial sector,All sectors,M,Market value,2017-Q4,124.9
Quarterly,CZ,Czechia,General government,All sectors,M,Market value,2017-Q4,36.6
Quarterly,CZ,Czechia,General government,All sectors,N,Nominal value,2017-Q4,34.2
Quarterly,CZ,Czechia,Households & NPISHs,All sectors,M,Market value,2017-Q4,31.2
Quarterly,CZ,Czechia,Non-financial corporations,All sectors,M,Market value,2017-Q4,57.2
Quarterly,CZ,Czechia,Private non-financial sector,All sectors,M,Market value,2017-Q4,88.4
Quarterly,DE,Germany,Non financial sector,All sectors,M,Market value,2017-Q4,187.3
Quarterly,DE,Germany,General government,All sectors,M,Market value,2017-Q4,69.1
Quarterly,DE,Germany,General government,All sectors,N,Nominal value,2017-Q4,64.6
Quarterly,DE,Germany,Households & NPISHs,All sectors,M,Market value,2017-Q4,52.9
Quarterly,DE,Germany,Non-financial corporations,All sectors,M,Market value,2017-Q4,65.3
Quarterly,DE,Germany,Private non-financial sector,All sectors,M,Market value,2017-Q4,118.2
Quarterly,DK,Denmark,Non financial sector,All sectors,M,Market value,2017-Q4,276.2
Quarterly,DK,Denmark,General government,All sectors,M,Market value,2017-Q4,41.7
Quarterly,DK,Denmark,General government,All sectors,N,Nominal value,2017-Q4,35.9
Quarterly,DK,Denmark,Households & NPISHs,All sectors,M,Market value,2017-Q4,113.8
Quarterly,DK,Denmark,Non-financial corporations,All sectors,M,Market value,2017-Q4,120.6
Quarterly,DK,Denmark,Private non-financial sector,All sectors,M,Market value,2017-Q4,234.5
Quarterly,ES,Spain,Non financial sector,All sectors,M,Market value,2017-Q4,273.1
Quarterly,ES,Spain,General government,All sectors,M,Market value,2017-Q4,113.3
Quarterly,ES,Spain,General government,All sectors,N,Nominal value,2017-Q4,101.8
Quarterly,ES,Spain,Households & NPISHs,All sectors,M,Market value,2017-Q4,61.1
Quarterly,ES,Spain,Non-financial corporations,All sectors,M,Market value,2017-Q4,98.7
Quarterly,ES,Spain,Private non-financial sector,All sectors,M,Market value,2017-Q4,159.8
Quarterly,FI,Finland,Non financial sector,All sectors,M,Market value,2017-Q4,256.6
Quarterly,FI,Finland,General government,All sectors,M,Market value,2017-Q4,69.8
Quarterly,FI,Finland,General government,All sectors,N,Nominal value,2017-Q4,66.0
Quarterly,FI,Finland,Households & NPISHs,All sectors,M,Market value,2017-Q4,64.4
Quarterly,FI,Finland,Non-financial corporations,All sectors,M,Market value,2017-Q4,122.4
Quarterly,FI,Finland,Private non-financial sector,All sectors,M,Market value,2017-Q4,186.8
Quarterly,FR,France,Non financial sector,All sectors,M,Market value,2017-Q4,311.3
Quarterly,FR,France,General government,All sectors,M,Market value,2017-Q4,110.5
Quarterly,FR,France,General government,All sectors,N,Nominal value,2017-Q4,98.0
Quarterly,FR,France,Households & NPISHs,All sectors,M,Market value,2017-Q4,58.4
Quarterly,FR,France,Non-financial corporations,All sectors,M,Market value,2017-Q4,142.4
Quarterly,FR,France,Private non-financial sector,All sectors,M,Market value,2017-Q4,200.8
Quarterly,G2,G20 economies,Non financial sector,All sectors,M,Market value,2017-Q4,248.4
Quarterly,G2,G20 economies,General government,All sectors,M,Market value,2017-Q4,89.5
Quarterly,G2,G20 economies,General government,All sectors,N,Nominal value,2017-Q4,84.7
Quarterly,G2,G20 economies,Households & NPISHs,All sectors,M,Market value,2017-Q4,62.0
Quarterly,G2,G20 economies,Non-financial corporations,All sectors,M,Market value,2017-Q4,96.8
Quarterly,G2,G20 economies,Private non-financial sector,All sectors,M,Market value,2017-Q4,158.8
Quarterly,GB,United Kingdom,Non financial sector,All sectors,M,Market value,2017-Q4,273.2
Quarterly,GB,United Kingdom,General government,All sectors,M,Market value,2017-Q4,110.9
Quarterly,GB,United Kingdom,General government,All sectors,N,Nominal value,2017-Q4,86.6
Quarterly,GB,United Kingdom,Households & NPISHs,All sectors,M,Market value,2017-Q4,85.8
Quarterly,GB,United Kingdom,Non-financial corporations,All sectors,M,Market value,2017-Q4,76.5
Quarterly,GB,United Kingdom,Private non-financial sector,All sectors,M,Market value,2017-Q4,162.3
Quarterly,GR,Greece,Non financial sector,All sectors,M,Market value,2017-Q4,302.4
Quarterly,GR,Greece,General government,All sectors,M,Market value,2017-Q4,181.9
Quarterly,GR,Greece,General government,All sectors,N,Nominal value,2017-Q4,179.5
Quarterly,GR,Greece,Households & NPISHs,All sectors,M,Market value,2017-Q4,58.1
Quarterly,GR,Greece,Non-financial corporations,All sectors,M,Market value,2017-Q4,62.4
Quarterly,GR,Greece,Private non-financial sector,All sectors,M,Market value,2017-Q4,120.5
Quarterly,HK,Hong Kong SAR,Non financial sector,All sectors,M,Market value,2017-Q4,414.1
Quarterly,HK,Hong Kong SAR,General government,All sectors,N,Nominal value,2017-Q4,70.8
Quarterly,HK,Hong Kong SAR,Households & NPISHs,All sectors,M,Market value,2017-Q4,70.8
Quarterly,HK,Hong Kong SAR,Non-financial corporations,All sectors,M,Market value,2017-Q4,272.5
Quarterly,HK,Hong Kong SAR,Private non-financial sector,All sectors,M,Market value,2017-Q4,343.3
Quarterly,HU,Hungary,Non financial sector,All sectors,M,Market value,2017-Q4,161.3
Quarterly,HU,Hungary,General government,All sectors,M,Market value,2017-Q4,77.5
Quarterly,HU,Hungary,General government,All sectors,N,Nominal value,2017-Q4,70.3
Quarterly,HU,Hungary,Households & NPISHs,All sectors,M,Market value,2017-Q4,18.7
Quarterly,HU,Hungary,Non-financial corporations,All sectors,M,Market value,2017-Q4,65.1
Quarterly,HU,Hungary,Private non-financial sector,All sectors,M,Market value,2017-Q4,83.8
Quarterly,ID,Indonesia,Non financial sector,All sectors,M,Market value,2017-Q4,71.3
Quarterly,ID,Indonesia,General government,All sectors,N,Nominal value,2017-Q4,29.4
Quarterly,ID,Indonesia,Households & NPISHs,All sectors,M,Market value,2017-Q4,17.0
Quarterly,ID,Indonesia,Non-financial corporations,All sectors,M,Market value,2017-Q4,24.9
Quarterly,ID,Indonesia,Private non-financial sector,All sectors,M,Market value,2017-Q4,42.0
Quarterly,IE,Ireland,Non financial sector,All sectors,M,Market value,2017-Q4,341.3
Quarterly,IE,Ireland,General government,All sectors,M,Market value,2017-Q4,73.3
Quarterly,IE,Ireland,General government,All sectors,N,Nominal value,2017-Q4,67.6
Quarterly,IE,Ireland,Households & NPISHs,All sectors,M,Market value,2017-Q4,46.7
Quarterly,IE,Ireland,Non-financial corporations,All sectors,M,Market value,2017-Q4,221.3
Quarterly,IE,Ireland,Private non-financial sector,All sectors,M,Market value,2017-Q4,268.0
Quarterly,IL,Israel,Non financial sector,All sectors,M,Market value,2017-Q4,175.4
Quarterly,IL,Israel,General government,All sectors,M,Market value,2017-Q4,65.9
Quarterly,IL,Israel,General government,All sectors,N,Nominal value,2017-Q4,59.1
Quarterly,IL,Israel,Households & NPISHs,All sectors,M,Market value,2017-Q4,41.0
Quarterly,IL,Israel,Non-financial corporations,All sectors,M,Market value,2017-Q4,68.5
Quarterly,IL,Israel,Private non-financial sector,All sectors,M,Market value,2017-Q4,109.5
Quarterly,IN,India,Non financial sector,All sectors,M,Market value,2017-Q4,162.3
Quarterly,IN,India,General government,All sectors,N,Nominal value,2017-Q4,69.5
Quarterly,IN,India,Households & NPISHs,All sectors,M,Market value,2017-Q4,34.5
Quarterly,IN,India,Non-financial corporations,All sectors,M,Market value,2017-Q4,58.3
Quarterly,IN,India,Private non-financial sector,All sectors,M,Market value,2017-Q4,92.8
Quarterly,IT,Italy,Non financial sector,All sectors,M,Market value,2017-Q4,258.6
Quarterly,IT,Italy,General government,All sectors,M,Market value,2017-Q4,146.5
Quarterly,IT,Italy,General government,All sectors,N,Nominal value,2017-Q4,134.0
Quarterly,IT,Italy,Households & NPISHs,All sectors,M,Market value,2017-Q4,40.7
Quarterly,IT,Italy,Non-financial corporations,All sectors,M,Market value,2017-Q4,71.4
Quarterly,IT,Italy,Private non-financial sector,All sectors,M,Market value,2017-Q4,112.1
Quarterly,JP,Japan,Non financial sector,All sectors,M,Market value,2017-Q4,367.4
Quarterly,JP,Japan,General government,All sectors,M,Market value,2017-Q4,211.2
Quarterly,JP,Japan,General government,All sectors,N,Nominal value,2017-Q4,199.3
Quarterly,JP,Japan,Households & NPISHs,All sectors,M,Market value,2017-Q4,60.3
Quarterly,JP,Japan,Non-financial corporations,All sectors,M,Market value,2017-Q4,96.0
Quarterly,JP,Japan,Private non-financial sector,All sectors,M,Market value,2017-Q4,156.3
Quarterly,KR,Korea,Non financial sector,All sectors,M,Market value,2017-Q4,217.8
Quarterly,KR,Korea,General government,All sectors,M,Market value,2017-Q4,35.9
Quarterly,KR,Korea,Households & NPISHs,All sectors,M,Market value,2017-Q4,89.4
Quarterly,KR,Korea,Non-financial corporations,All sectors,M,Market value,2017-Q4,92.5
Quarterly,KR,Korea,Private non-financial sector,All sectors,M,Market value,2017-Q4,181.9
Quarterly,LU,Luxembourg,Non financial sector,All sectors,M,Market value,2017-Q4,387.2
