Frequency,BORROWERS_CTY,Borrowers' country,Borrowers,TITLE_TS,Series,Quaterlly_per_year,Debt_Sec_Ratio
Quarterly,PT,Portugal,Non-financial corporations,Portugal - Non-financial corporations,Q:PT:N,2017-Q4,44.9
Quarterly,PT,Portugal,Private non-financial sector,Portugal - Private non-financial sector,Q:PT:P,2017-Q4,15.4
Quarterly,RU,Russia,Private non-financial sector,Russia - Private non-financial sector,Q:RU:P,2017-Q4,13.1
Quarterly,SE,Sweden,Households & NPISHs,Sweden - Households and NPISHs,Q:SE:H,2017-Q4,11.5
Quarterly,SE,Sweden,Non-financial corporations,Sweden - Non-financial corporations,Q:SE:N,2017-Q4,42.6
Quarterly,SE,Sweden,Private non-financial sector,Sweden - Private non-financial sector,Q:SE:P,2017-Q4,22.3
Quarterly,TH,Thailand,Private non-financial sector,Thailand - Private non-financial sector,Q:TH:P,2017-Q4,13.1
Quarterly,TR,Turkey,Private non-financial sector,Turkey - Private non-financial sector,Q:TR:P,2017-Q4,15.7
Quarterly,US,United States,Households & NPISHs,United States - Households and NPISHs,Q:US:H,2017-Q4,8.1
Quarterly,US,United States,Non-financial corporations,United States - Non-financial corporations,Q:US:N,2017-Q4,40.5
Quarterly,US,United States,Private non-financial sector,United States - Private non-financial sector,Q:US:P,2017-Q4,14.6
Quarterly,ZA,South Africa,Private non-financial sector,South Africa - Private non-financial sector,Q:ZA:P,2017-Q4,8.9
Quarterly,AU,Australia,Households & NPISHs,Australia - Households and NPISHs,Q:AU:H,2018-Q1,15.4
Quarterly,AU,Australia,Non-financial corporations,Australia - Non-financial corporations,Q:AU:N,2018-Q1,46.5
Quarterly,AU,Australia,Private non-financial sector,Australia - Private non-financial sector,Q:AU:P,2018-Q1,20.8
Quarterly,BE,Belgium,Households & NPISHs,Belgium - Households and NPISHs,Q:BE:H,2018-Q1,7.2
Quarterly,BE,Belgium,Non-financial corporations,Belgium - Non-financial corporations,Q:BE:N,2018-Q1,51.0
Quarterly,BE,Belgium,Private non-financial sector,Belgium - Private non-financial sector,Q:BE:P,2018-Q1,20.6
Quarterly,BR,Brazil,Private non-financial sector,Brazil - Private non-financial sector,Q:BR:P,2018-Q1,18.5
Quarterly,CA,Canada,Households & NPISHs,Canada - Households and NPISHs,Q:CA:H,2018-Q1,13.1
Quarterly,CA,Canada,Non-financial corporations,Canada - Non-financial corporations,Q:CA:N,2018-Q1,54.3
Quarterly,CA,Canada,Private non-financial sector,Canada - Private non-financial sector,Q:CA:P,2018-Q1,23.8
Quarterly,CH,Switzerland,Private non-financial sector,Switzerland - Private non-financial sector,Q:CH:P,2018-Q1,18.7
Quarterly,CN,China,Private non-financial sector,China - Private non-financial sector,Q:CN:P,2018-Q1,19.5
Quarterly,CZ,Czechia,Private non-financial sector,Czechia - Private non-financial sector,Q:CZ:P,2018-Q1,7.3
Quarterly,DE,Germany,Households & NPISHs,Germany - Households and NPISHs,Q:DE:H,2018-Q1,6.1
Quarterly,DE,Germany,Non-financial corporations,Germany - Non-financial corporations,Q:DE:N,2018-Q1,23.9
Quarterly,DE,Germany,Private non-financial sector,Germany - Private non-financial sector,Q:DE:P,2018-Q1,10.8
Quarterly,DK,Denmark,Households & NPISHs,Denmark - Households and NPISHs,Q:DK:H,2018-Q1,15.0
Quarterly,DK,Denmark,Non-financial corporations,Denmark - Non-financial corporations,Q:DK:N,2018-Q1,41.0
Quarterly,DK,Denmark,Private non-financial sector,Denmark - Private non-financial sector,Q:DK:P,2018-Q1,24.1
Quarterly,ES,Spain,Households & NPISHs,Spain - Households and NPISHs,Q:ES:H,2018-Q1,6.4
Quarterly,ES,Spain,Non-financial corporations,Spain - Non-financial corporations,Q:ES:N,2018-Q1,34.0
Quarterly,ES,Spain,Private non-financial sector,Spain - Private non-financial sector,Q:ES:P,2018-Q1,13.9
Quarterly,FI,Finland,Households & NPISHs,Finland - Households and NPISHs,Q:FI:H,2018-Q1,7.0
Quarterly,FI,Finland,Non-financial corporations,Finland - Non-financial corporations,Q:FI:N,2018-Q1,40.2
Quarterly,FI,Finland,Private non-financial sector,Finland - Private non-financial sector,Q:FI:P,2018-Q1,17.3
Quarterly,FR,France,Households & NPISHs,France - Households and NPISHs,Q:FR:H,2018-Q1,6.3
Quarterly,FR,France,Non-financial corporations,France - Non-financial corporations,Q:FR:N,2018-Q1,57.3
Quarterly,FR,France,Private non-financial sector,France - Private non-financial sector,Q:FR:P,2018-Q1,19.4
Quarterly,GB,United Kingdom,Households & NPISHs,United Kingdom - Households and NPISHs,Q:GB:H,2018-Q1,9.2
Quarterly,GB,United Kingdom,Non-financial corporations,United Kingdom - Non-financial corporations,Q:GB:N,2018-Q1,32.1
Quarterly,GB,United Kingdom,Private non-financial sector,United Kingdom - Private non-financial sector,Q:GB:P,2018-Q1,14.4
Quarterly,HK,Hong Kong SAR,Private non-financial sector,Hong Kong SAR - Private non-financial sector,Q:HK:P,2018-Q1,30.6
Quarterly,HU,Hungary,Private non-financial sector,Hungary - Private non-financial sector,Q:HU:P,2018-Q1,7.1
Quarterly,ID,Indonesia,Private non-financial sector,Indonesia - Private non-financial sector,Q:ID:P,2018-Q1,4.4
Quarterly,IN,India,Private non-financial sector,India - Private non-financial sector,Q:IN:P,2018-Q1,10.9
Quarterly,IT,Italy,Households & NPISHs,Italy - Households and NPISHs,Q:IT:H,2018-Q1,4.3
Quarterly,IT,Italy,Non-financial corporations,Italy - Non-financial corporations,Q:IT:N,2018-Q1,30.7
Quarterly,IT,Italy,Private non-financial sector,Italy - Private non-financial sector,Q:IT:P,2018-Q1,10.3
Quarterly,JP,Japan,Households & NPISHs,Japan - Households and NPISHs,Q:JP:H,2018-Q1,7.1
Quarterly,JP,Japan,Non-financial corporations,Japan - Non-financial corporations,Q:JP:N,2018-Q1,29.3
Quarterly,JP,Japan,Private non-financial sector,Japan - Private non-financial sector,Q:JP:P,2018-Q1,13.8
Quarterly,KR,Korea,Households & NPISHs,Korea - Households and NPISHs,Q:KR:H,2018-Q1,12.0
Quarterly,KR,Korea,Non-financial corporations,Korea - Non-financial corporations,Q:KR:N,2018-Q1,34.0
Quarterly,KR,Korea,Private non-financial sector,Korea - Private non-financial sector,Q:KR:P,2018-Q1,18.7
Quarterly,MX,Mexico,Private non-financial sector,Mexico - Private non-financial sector,Q:MX:P,2018-Q1,5.0
Quarterly,MY,Malaysia,Private non-financial sector,Malaysia - Private non-financial sector,Q:MY:P,2018-Q1,13.0
Quarterly,NL,Netherlands,Households & NPISHs,Netherlands - Households and NPISHs,Q:NL:H,2018-Q1,16.2
Quarterly,NL,Netherlands,Non-financial corporations,Netherlands - Non-financial corporations,Q:NL:N,2018-Q1,49.7
Quarterly,NL,Netherlands,Private non-financial sector,Netherlands - Private non-financial sector,Q:NL:P,2018-Q1,27.9
Quarterly,NO,Norway,Households & NPISHs,Norway - Households and NPISHs,Q:NO:H,2018-Q1,15.0
Quarterly,NO,Norway,Non-financial corporations,Norway - Non-financial corporations,Q:NO:N,2018-Q1,48.1
Quarterly,NO,Norway,Private non-financial sector,Norway - Private non-financial sector,Q:NO:P,2018-Q1,26.3
Quarterly,PL,Poland,Private non-financial sector,Poland - Private non-financial sector,Q:PL:P,2018-Q1,7.3
Quarterly,PT,Portugal,Households & NPISHs,Portugal - Households and NPISHs,Q:PT:H,2018-Q1,6.5
Quarterly,PT,Portugal,Non-financial corporations,Portugal - Non-financial corporations,Q:PT:N,2018-Q1,44.3
Quarterly,PT,Portugal,Private non-financial sector,Portugal - Private non-financial sector,Q:PT:P,2018-Q1,15.2
Quarterly,RU,Russia,Private non-financial sector,Russia - Private non-financial sector,Q:RU:P,2018-Q1,12.4
Quarterly,SE,Sweden,Households & NPISHs,Sweden - Households and NPISHs,Q:SE:H,2018-Q1,11.4
Quarterly,SE,Sweden,Non-financial corporations,Sweden - Non-financial corporations,Q:SE:N,2018-Q1,42.9
Quarterly,SE,Sweden,Private non-financial sector,Sweden - Private non-financial sector,Q:SE:P,2018-Q1,22.3
Quarterly,TH,Thailand,Private non-financial sector,Thailand - Private non-financial sector,Q:TH:P,2018-Q1,13.0
Quarterly,TR,Turkey,Private non-financial sector,Turkey - Private non-financial sector,Q:TR:P,2018-Q1,16.5
Quarterly,US,United States,Households & NPISHs,United States - Households and NPISHs,Q:US:H,2018-Q1,8.1
Quarterly,US,United States,Non-financial corporations,United States - Non-financial corporations,Q:US:N,2018-Q1,39.6
Quarterly,US,United States,Private non-financial sector,United States - Private non-financial sector,Q:US:P,2018-Q1,14.4
Quarterly,ZA,South Africa,Private non-financial sector,South Africa - Private non-financial sector,Q:ZA:P,2018-Q1,9.0
Quarterly,AU,Australia,Households & NPISHs,Australia - Households and NPISHs,Q:AU:H,2018-Q2,15.4
Quarterly,AU,Australia,Non-financial corporations,Australia - Non-financial corporations,Q:AU:N,2018-Q2,46.4
Quarterly,AU,Australia,Private non-financial sector,Australia - Private non-financial sector,Q:AU:P,2018-Q2,20.8
Quarterly,BE,Belgium,Households & NPISHs,Belgium - Households and NPISHs,Q:BE:H,2018-Q2,7.3
Quarterly,BE,Belgium,Non-financial corporations,Belgium - Non-financial corporations,Q:BE:N,2018-Q2,50.1
Quarterly,BE,Belgium,Private non-financial sector,Belgium - Private non-financial sector,Q:BE:P,2018-Q2,20.5
Quarterly,BR,Brazil,Private non-financial sector,Brazil - Private non-financial sector,Q:BR:P,2018-Q2,18.1
Quarterly,CA,Canada,Households & NPISHs,Canada - Households and NPISHs,Q:CA:H,2018-Q2,13.3
Quarterly,CA,Canada,Non-financial corporations,Canada - Non-financial corporations,Q:CA:N,2018-Q2,55.0
Quarterly,CA,Canada,Private non-financial sector,Canada - Private non-financial sector,Q:CA:P,2018-Q2,24.2
Quarterly,CH,Switzerland,Private non-financial sector,Switzerland - Private non-financial sector,Q:CH:P,2018-Q2,18.1
Quarterly,CN,China,Private non-financial sector,China - Private non-financial sector,Q:CN:P,2018-Q2,19.3
Quarterly,CZ,Czechia,Private non-financial sector,Czechia - Private non-financial sector,Q:CZ:P,2018-Q2,7.5
Quarterly,DE,Germany,Households & NPISHs,Germany - Households and NPISHs,Q:DE:H,2018-Q2,6.1
Quarterly,DE,Germany,Non-financial corporations,Germany - Non-financial corporations,Q:DE:N,2018-Q2,23.8
Quarterly,DE,Germany,Private non-financial sector,Germany - Private non-financial sector,Q:DE:P,2018-Q2,10.9
Quarterly,DK,Denmark,Households & NPISHs,Denmark - Households and NPISHs,Q:DK:H,2018-Q2,14.9
Quarterly,DK,Denmark,Non-financial corporations,Denmark - Non-financial corporations,Q:DK:N,2018-Q2,41.2
Quarterly,DK,Denmark,Private non-financial sector,Denmark - Private non-financial sector,Q:DK:P,2018-Q2,24.1
Quarterly,ES,Spain,Households & NPISHs,Spain - Households and NPISHs,Q:ES:H,2018-Q2,6.4
Quarterly,ES,Spain,Non-financial corporations,Spain - Non-financial corporations,Q:ES:N,2018-Q2,33.6
Quarterly,ES,Spain,Private non-financial sector,Spain - Private non-financial sector,Q:ES:P,2018-Q2,13.9
Quarterly,FI,Finland,Households & NPISHs,Finland - Households and NPISHs,Q:FI:H,2018-Q2,7.1
Quarterly,FI,Finland,Non-financial corporations,Finland - Non-financial corporations,Q:FI:N,2018-Q2,37.5
Quarterly,FI,Finland,Private non-financial sector,Finland - Private non-financial sector,Q:FI:P,2018-Q2,17.0
Quarterly,FR,France,Households & NPISHs,France - Households and NPISHs,Q:FR:H,2018-Q2,6.3
Quarterly,FR,France,Non-financial corporations,France - Non-financial corporations,Q:FR:N,2018-Q2,56.3
Quarterly,FR,France,Private non-financial sector,France - Private non-financial sector,Q:FR:P,2018-Q2,19.3
Quarterly,GB,United Kingdom,Households & NPISHs,United Kingdom - Households and NPISHs,Q:GB:H,2018-Q2,9.2
Quarterly,GB,United Kingdom,Non-financial corporations,United Kingdom - Non-financial corporations,Q:GB:N,2018-Q2,31.6
Quarterly,GB,United Kingdom,Private non-financial sector,United Kingdom - Private non-financial sector,Q:GB:P,2018-Q2,14.2
Quarterly,HK,Hong Kong SAR,Private non-financial sector,Hong Kong SAR - Private non-financial sector,Q:HK:P,2018-Q2,30.6
Quarterly,HU,Hungary,Private non-financial sector,Hungary - Private non-financial sector,Q:HU:P,2018-Q2,7.3
Quarterly,ID,Indonesia,Private non-financial sector,Indonesia - Private non-financial sector,Q:ID:P,2018-Q2,4.5
Quarterly,IN,India,Private non-financial sector,India - Private non-financial sector,Q:IN:P,2018-Q2,10.7
Quarterly,IT,Italy,Households & NPISHs,Italy - Households and NPISHs,Q:IT:H,2018-Q2,4.3
Quarterly,IT,Italy,Non-financial corporations,Italy - Non-financial corporations,Q:IT:N,2018-Q2,30.6
Quarterly,IT,Italy,Private non-financial sector,Italy - Private non-financial sector,Q:IT:P,2018-Q2,10.1
Quarterly,JP,Japan,Households & NPISHs,Japan - Households and NPISHs,Q:JP:H,2018-Q2,7.2
Quarterly,JP,Japan,Non-financial corporations,Japan - Non-financial corporations,Q:JP:N,2018-Q2,29.5
Quarterly,JP,Japan,Private non-financial sector,Japan - Private non-financial sector,Q:JP:P,2018-Q2,13.9
Quarterly,KR,Korea,Households & NPISHs,Korea - Households and NPISHs,Q:KR:H,2018-Q2,12.0
Quarterly,KR,Korea,Non-financial corporations,Korea - Non-financial corporations,Q:KR:N,2018-Q2,34.5
Quarterly,KR,Korea,Private non-financial sector,Korea - Private non-financial sector,Q:KR:P,2018-Q2,18.9
Quarterly,MX,Mexico,Private non-financial sector,Mexico - Private non-financial sector,Q:MX:P,2018-Q2,5.2
Quarterly,MY,Malaysia,Private non-financial sector,Malaysia - Private non-financial sector,Q:MY:P,2018-Q2,13.4
Quarterly,NL,Netherlands,Households & NPISHs,Netherlands - Households and NPISHs,Q:NL:H,2018-Q2,15.9
Quarterly,NL,Netherlands,Non-financial corporations,Netherlands - Non-financial corporations,Q:NL:N,2018-Q2,47.4
Quarterly,NL,Netherlands,Private non-financial sector,Netherlands - Private non-financial sector,Q:NL:P,2018-Q2,27.1
Quarterly,NO,Norway,Households & NPISHs,Norway - Households and NPISHs,Q:NO:H,2018-Q2,15.1
Quarterly,NO,Norway,Non-financial corporations,Norway - Non-financial corporations,Q:NO:N,2018-Q2,47.3
Quarterly,NO,Norway,Private non-financial sector,Norway - Private non-financial sector,Q:NO:P,2018-Q2,26.2
Quarterly,PL,Poland,Private non-financial sector,Poland - Private non-financial sector,Q:PL:P,2018-Q2,7.3
Quarterly,PT,Portugal,Households & NPISHs,Portugal - Households and NPISHs,Q:PT:H,2018-Q2,6.5
Quarterly,PT,Portugal,Non-financial corporations,Portugal - Non-financial corporations,Q:PT:N,2018-Q2,44.3
Quarterly,PT,Portugal,Private non-financial sector,Portugal - Private non-financial sector,Q:PT:P,2018-Q2,15.1
Quarterly,RU,Russia,Private non-financial sector,Russia - Private non-financial sector,Q:RU:P,2018-Q2,12.4
Quarterly,SE,Sweden,Households & NPISHs,Sweden - Households and NPISHs,Q:SE:H,2018-Q2,11.5
Quarterly,SE,Sweden,Non-financial corporations,Sweden - Non-financial corporations,Q:SE:N,2018-Q2,44.1
Quarterly,SE,Sweden,Private non-financial sector,Sweden - Private non-financial sector,Q:SE:P,2018-Q2,22.7
Quarterly,TH,Thailand,Private non-financial sector,Thailand - Private non-financial sector,Q:TH:P,2018-Q2,13.1
Quarterly,TR,Turkey,Private non-financial sector,Turkey - Private non-financial sector,Q:TR:P,2018-Q2,17.9
Quarterly,US,United States,Households & NPISHs,United States - Households and NPISHs,Q:US:H,2018-Q2,8.1
Quarterly,US,United States,Non-financial corporations,United States - Non-financial corporations,Q:US:N,2018-Q2,39.0
Quarterly,US,United States,Private non-financial sector,United States - Private non-financial sector,Q:US:P,2018-Q2,14.4
Quarterly,ZA,South Africa,Private non-financial sector,South Africa - Private non-financial sector,Q:ZA:P,2018-Q2,8.9
Quarterly,AU,Australia,Households & NPISHs,Australia - Households and NPISHs,Q:AU:H,2018-Q3,15.3
Quarterly,AU,Australia,Non-financial corporations,Australia - Non-financial corporations,Q:AU:N,2018-Q3,46.6
Quarterly,AU,Australia,Private non-financial sector,Australia - Private non-financial sector,Q:AU:P,2018-Q3,20.8
Quarterly,BE,Belgium,Households & NPISHs,Belgium - Households and NPISHs,Q:BE:H,2018-Q3,7.3
Quarterly,BE,Belgium,Non-financial corporations,Belgium - Non-financial corporations,Q:BE:N,2018-Q3,49.4
Quarterly,BE,Belgium,Private non-financial sector,Belgium - Private non-financial sector,Q:BE:P,2018-Q3,20.3
Quarterly,BR,Brazil,Private non-financial sector,Brazil - Private non-financial sector,Q:BR:P,2018-Q3,17.8
Quarterly,CA,Canada,Households & NPISHs,Canada - Households and NPISHs,Q:CA:H,2018-Q3,13.4
Quarterly,CA,Canada,Non-financial corporations,Canada - Non-financial corporations,Q:CA:N,2018-Q3,54.1
Quarterly,CA,Canada,Private non-financial sector,Canada - Private non-financial sector,Q:CA:P,2018-Q3,24.2
Quarterly,CH,Switzerland,Private non-financial sector,Switzerland - Private non-financial sector,Q:CH:P,2018-Q3,17.9
Quarterly,CN,China,Private non-financial sector,China - Private non-financial sector,Q:CN:P,2018-Q3,19.1
Quarterly,CZ,Czechia,Private non-financial sector,Czechia - Private non-financial sector,Q:CZ:P,2018-Q3,7.6
Quarterly,DE,Germany,Households & NPISHs,Germany - Households and NPISHs,Q:DE:H,2018-Q3,6.0
Quarterly,DE,Germany,Non-financial corporations,Germany - Non-financial corporations,Q:DE:N,2018-Q3,23.9
Quarterly,DE,Germany,Private non-financial sector,Germany - Private non-financial sector,Q:DE:P,2018-Q3,10.9
Quarterly,DK,Denmark,Households & NPISHs,Denmark - Households and NPISHs,Q:DK:H,2018-Q3,14.8
Quarterly,DK,Denmark,Non-financial corporations,Denmark - Non-financial corporations,Q:DK:N,2018-Q3,41.4
Quarterly,DK,Denmark,Private non-financial sector,Denmark - Private non-financial sector,Q:DK:P,2018-Q3,24.2
Quarterly,ES,Spain,Households & NPISHs,Spain - Households and NPISHs,Q:ES:H,2018-Q3,6.3
Quarterly,ES,Spain,Non-financial corporations,Spain - Non-financial corporations,Q:ES:N,2018-Q3,33.4
Quarterly,ES,Spain,Private non-financial sector,Spain - Private non-financial sector,Q:ES:P,2018-Q3,13.8
Quarterly,FI,Finland,Households & NPISHs,Finland - Households and NPISHs,Q:FI:H,2018-Q3,7.1
Quarterly,FI,Finland,Non-financial corporations,Finland - Non-financial corporations,Q:FI:N,2018-Q3,37.9
Quarterly,FI,Finland,Private non-financial sector,Finland - Private non-financial sector,Q:FI:P,2018-Q3,17.0
Quarterly,FR,France,Households & NPISHs,France - Households and NPISHs,Q:FR:H,2018-Q3,6.3
Quarterly,FR,France,Non-financial corporations,France - Non-financial corporations,Q:FR:N,2018-Q3,56.5
Quarterly,FR,France,Private non-financial sector,France - Private non-financial sector,Q:FR:P,2018-Q3,19.4
Quarterly,GB,United Kingdom,Households & NPISHs,United Kingdom - Households and NPISHs,Q:GB:H,2018-Q3,9.2
Quarterly,GB,United Kingdom,Non-financial corporations,United Kingdom - Non-financial corporations,Q:GB:N,2018-Q3,31.1
Quarterly,GB,United Kingdom,Private non-financial sector,United Kingdom - Private non-financial sector,Q:GB:P,2018-Q3,14.1
Quarterly,HK,Hong Kong SAR,Private non-financial sector,Hong Kong SAR - Private non-financial sector,Q:HK:P,2018-Q3,29.8
Quarterly,HU,Hungary,Private non-financial sector,Hungary - Private non-financial sector,Q:HU:P,2018-Q3,7.1
Quarterly,ID,Indonesia,Private non-financial sector,Indonesia - Private non-financial sector,Q:ID:P,2018-Q3,4.6
Quarterly,IN,India,Private non-financial sector,India - Private non-financial sector,Q:IN:P,2018-Q3,10.5
Quarterly,IT,Italy,Households & NPISHs,Italy - Households and NPISHs,Q:IT:H,2018-Q3,4.3
Quarterly,IT,Italy,Non-financial corporations,Italy - Non-financial corporations,Q:IT:N,2018-Q3,30.3
Quarterly,IT,Italy,Private non-financial sector,Italy - Private non-financial sector,Q:IT:P,2018-Q3,10.1
Quarterly,JP,Japan,Households & NPISHs,Japan - Households and NPISHs,Q:JP:H,2018-Q3,7.2
Quarterly,JP,Japan,Non-financial corporations,Japan - Non-financial corporations,Q:JP:N,2018-Q3,30.0
Quarterly,JP,Japan,Private non-financial sector,Japan - Private non-financial sector,Q:JP:P,2018-Q3,14.0
Quarterly,KR,Korea,Households & NPISHs,Korea - Households and NPISHs,Q:KR:H,2018-Q3,12.1
Quarterly,KR,Korea,Non-financial corporations,Korea - Non-financial corporations,Q:KR:N,2018-Q3,35.2
Quarterly,KR,Korea,Private non-financial sector,Korea - Private non-financial sector,Q:KR:P,2018-Q3,19.1
Quarterly,MX,Mexico,Private non-financial sector,Mexico - Private non-financial sector,Q:MX:P,2018-Q3,5.1
Quarterly,MY,Malaysia,Private non-financial sector,Malaysia - Private non-financial sector,Q:MY:P,2018-Q3,13.3
Quarterly,NL,Netherlands,Households & NPISHs,Netherlands - Households and NPISHs,Q:NL:H,2018-Q3,15.8
Quarterly,NL,Netherlands,Non-financial corporations,Netherlands - Non-financial corporations,Q:NL:N,2018-Q3,46.1
Quarterly,NL,Netherlands,Private non-financial sector,Netherlands - Private non-financial sector,Q:NL:P,2018-Q3,26.7
Quarterly,NO,Norway,Households & NPISHs,Norway - Households and NPISHs,Q:NO:H,2018-Q3,15.1
Quarterly,NO,Norway,Non-financial corporations,Norway - Non-financial corporations,Q:NO:N,2018-Q3,46.5
Quarterly,NO,Norway,Private non-financial sector,Norway - Private non-financial sector,Q:NO:P,2018-Q3,25.9
Quarterly,PL,Poland,Private non-financial sector,Poland - Private non-financial sector,Q:PL:P,2018-Q3,7.2
Quarterly,PT,Portugal,Households & NPISHs,Portugal - Households and NPISHs,Q:PT:H,2018-Q3,6.4
Quarterly,PT,Portugal,Non-financial corporations,Portugal - Non-financial corporations,Q:PT:N,2018-Q3,45.4
Quarterly,PT,Portugal,Private non-financial sector,Portugal - Private non-financial sector,Q:PT:P,2018-Q3,15.2
Quarterly,RU,Russia,Private non-financial sector,Russia - Private non-financial sector,Q:RU:P,2018-Q3,12.4
Quarterly,SE,Sweden,Households & NPISHs,Sweden - Households and NPISHs,Q:SE:H,2018-Q3,11.5
Quarterly,SE,Sweden,Non-financial corporations,Sweden - Non-financial corporations,Q:SE:N,2018-Q3,44.8
Quarterly,SE,Sweden,Private non-financial sector,Sweden - Private non-financial sector,Q:SE:P,2018-Q3,22.7
Quarterly,TH,Thailand,Private non-financial sector,Thailand - Private non-financial sector,Q:TH:P,2018-Q3,13.1
Quarterly,TR,Turkey,Private non-financial sector,Turkey - Private non-financial sector,Q:TR:P,2018-Q3,26.9
Quarterly,US,United States,Households & NPISHs,United States - Households and NPISHs,Q:US:H,2018-Q3,8.1
Quarterly,US,United States,Non-financial corporations,United States - Non-financial corporations,Q:US:N,2018-Q3,38.1
Quarterly,US,United States,Private non-financial sector,United States - Private non-financial sector,Q:US:P,2018-Q3,14.3
Quarterly,ZA,South Africa,Private non-financial sector,South Africa - Private non-financial sector,Q:ZA:P,2018-Q3,9.0
Quarterly,AU,Australia,Households & NPISHs,Australia - Households and NPISHs,Q:AU:H,2018-Q4,15.4
Quarterly,AU,Australia,Non-financial corporations,Australia - Non-financial corporations,Q:AU:N,2018-Q4,45.6
Quarterly,AU,Australia,Private non-financial sector,Australia - Private non-financial sector,Q:AU:P,2018-Q4,20.7
Quarterly,BE,Belgium,Households & NPISHs,Belgium - Households and NPISHs,Q:BE:H,2018-Q4,7.3
Quarterly,BE,Belgium,Non-financial corporations,Belgium - Non-financial corporations,Q:BE:N,2018-Q4,49.8
Quarterly,BE,Belgium,Private non-financial sector,Belgium - Private non-financial sector,Q:BE:P,2018-Q4,20.3
Quarterly,BR,Brazil,Private non-financial sector,Brazil - Private non-financial sector,Q:BR:P,2018-Q4,17.9
Quarterly,CA,Canada,Households & NPISHs,Canada - Households and NPISHs,Q:CA:H,2018-Q4,13.6
Quarterly,CA,Canada,Non-financial corporations,Canada - Non-financial corporations,Q:CA:N,2018-Q4,54.8
Quarterly,CA,Canada,Private non-financial sector,Canada - Private non-financial sector,Q:CA:P,2018-Q4,24.3
Quarterly,CH,Switzerland,Private non-financial sector,Switzerland - Private non-financial sector,Q:CH:P,2018-Q4,17.5
Quarterly,CN,China,Private non-financial sector,China - Private non-financial sector,Q:CN:P,2018-Q4,18.9
Quarterly,CZ,Czechia,Private non-financial sector,Czechia - Private non-financial sector,Q:CZ:P,2018-Q4,7.8
Quarterly,DE,Germany,Households & NPISHs,Germany - Households and NPISHs,Q:DE:H,2018-Q4,6.0
Quarterly,DE,Germany,Non-financial corporations,Germany - Non-financial corporations,Q:DE:N,2018-Q4,23.8
Quarterly,DE,Germany,Private non-financial sector,Germany - Private non-financial sector,Q:DE:P,2018-Q4,10.8
Quarterly,DK,Denmark,Households & NPISHs,Denmark - Households and NPISHs,Q:DK:H,2018-Q4,14.7
Quarterly,DK,Denmark,Non-financial corporations,Denmark - Non-financial corporations,Q:DK:N,2018-Q4,41.0
Quarterly,DK,Denmark,Private non-financial sector,Denmark - Private non-financial sector,Q:DK:P,2018-Q4,23.9
Quarterly,ES,Spain,Households & NPISHs,Spain - Households and NPISHs,Q:ES:H,2018-Q4,6.4
Quarterly,ES,Spain,Non-financial corporations,Spain - Non-financial corporations,Q:ES:N,2018-Q4,33.0
Quarterly,ES,Spain,Private non-financial sector,Spain - Private non-financial sector,Q:ES:P,2018-Q4,13.7
Quarterly,FI,Finland,Households & NPISHs,Finland - Households and NPISHs,Q:FI:H,2018-Q4,7.1
Quarterly,FI,Finland,Non-financial corporations,Finland - Non-financial corporations,Q:FI:N,2018-Q4,37.9
Quarterly,FI,Finland,Private non-financial sector,Finland - Private non-financial sector,Q:FI:P,2018-Q4,16.8
Quarterly,FR,France,Households & NPISHs,France - Households and NPISHs,Q:FR:H,2018-Q4,6.4
Quarterly,FR,France,Non-financial corporations,France - Non-financial corporations,Q:FR:N,2018-Q4,56.1
Quarterly,FR,France,Private non-financial sector,France - Private non-financial sector,Q:FR:P,2018-Q4,19.3
Quarterly,GB,United Kingdom,Households & NPISHs,United Kingdom - Households and NPISHs,Q:GB:H,2018-Q4,9.2
Quarterly,GB,United Kingdom,Non-financial corporations,United Kingdom - Non-financial corporations,Q:GB:N,2018-Q4,30.8
Quarterly,GB,United Kingdom,Private non-financial sector,United Kingdom - Private non-financial sector,Q:GB:P,2018-Q4,14.0
Quarterly,HK,Hong Kong SAR,Private non-financial sector,Hong Kong SAR - Private non-financial sector,Q:HK:P,2018-Q4,30.4
Quarterly,HU,Hungary,Private non-financial sector,Hungary - Private non-financial sector,Q:HU:P,2018-Q4,7.0
Quarterly,ID,Indonesia,Private non-financial sector,Indonesia - Private non-financial sector,Q:ID:P,2018-Q4,4.7
Quarterly,IN,India,Private non-financial sector,India - Private non-financial sector,Q:IN:P,2018-Q4,10.4
Quarterly,IT,Italy,Households & NPISHs,Italy - Households and NPISHs,Q:IT:H,2018-Q4,4.2
Quarterly,IT,Italy,Non-financial corporations,Italy - Non-financial corporations,Q:IT:N,2018-Q4,30.0
Quarterly,IT,Italy,Private non-financial sector,Italy - Private non-financial sector,Q:IT:P,2018-Q4,10.0
Quarterly,JP,Japan,Households & NPISHs,Japan - Households and NPISHs,Q:JP:H,2018-Q4,7.2
Quarterly,JP,Japan,Non-financial corporations,Japan - Non-financial corporations,Q:JP:N,2018-Q4,30.8
Quarterly,JP,Japan,Private non-financial sector,Japan - Private non-financial sector,Q:JP:P,2018-Q4,14.2
Quarterly,KR,Korea,Households & NPISHs,Korea - Households and NPISHs,Q:KR:H,2018-Q4,12.1
Quarterly,KR,Korea,Non-financial corporations,Korea - Non-financial corporations,Q:KR:N,2018-Q4,35.8
