Borrowers' country,Borrowing sector,Lending sector,Credit gap data type,Series,Quaterlly_per_year,Financial_Stability_Statistics
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:LU:P:A:C,2017-Q4,-52.3
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NL:P:A:A,2017-Q4,273.9
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NL:P:A:B,2017-Q4,294.2
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NL:P:A:C,2017-Q4,-20.3
Norway,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NO:P:A:A,2017-Q4,242.1
Norway,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NO:P:A:B,2017-Q4,247.4
Norway,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NO:P:A:C,2017-Q4,-5.2
Portugal,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:PT:P:A:A,2017-Q4,176.7
Portugal,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:PT:P:A:B,2017-Q4,222.6
Portugal,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:PT:P:A:C,2017-Q4,-45.9
Sweden,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:SE:P:A:A,2017-Q4,240.8
Sweden,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:SE:P:A:B,2017-Q4,247.5
Sweden,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:SE:P:A:C,2017-Q4,-6.7
United States,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:US:P:A:A,2017-Q4,152.5
United States,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:US:P:A:B,2017-Q4,159.1
United States,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:US:P:A:C,2017-Q4,-6.6
Euro area,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:XM:P:A:A,2017-Q4,163.2
Euro area,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:XM:P:A:B,2017-Q4,175.9
Euro area,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:XM:P:A:C,2017-Q4,-12.7
Austria,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AT:P:A:A,2018-Q1,142.3
Austria,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AT:P:A:B,2018-Q1,150.0
Austria,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AT:P:A:C,2018-Q1,-7.6
Australia,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AU:P:A:A,2018-Q1,196.5
Australia,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AU:P:A:B,2018-Q1,203.7
Australia,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AU:P:A:C,2018-Q1,-7.2
Belgium,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:BE:P:A:A,2018-Q1,212.4
Belgium,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:BE:P:A:B,2018-Q1,227.0
Belgium,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:BE:P:A:C,2018-Q1,-14.6
Canada,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:CA:P:A:A,2018-Q1,213.9
Canada,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:CA:P:A:B,2018-Q1,208.1
Canada,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:CA:P:A:C,2018-Q1,5.8
Germany,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DE:P:A:A,2018-Q1,119.1
Germany,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DE:P:A:B,2018-Q1,122.9
Germany,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DE:P:A:C,2018-Q1,-3.8
Denmark,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DK:P:A:A,2018-Q1,234.5
Denmark,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DK:P:A:B,2018-Q1,265.0
Denmark,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DK:P:A:C,2018-Q1,-30.5
Spain,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:ES:P:A:A,2018-Q1,158.1
Spain,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:ES:P:A:B,2018-Q1,211.4
Spain,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:ES:P:A:C,2018-Q1,-53.3
Finland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FI:P:A:A,2018-Q1,186.6
Finland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FI:P:A:B,2018-Q1,187.8
Finland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FI:P:A:C,2018-Q1,-1.2
France,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FR:P:A:A,2018-Q1,202.3
France,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FR:P:A:B,2018-Q1,198.2
France,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FR:P:A:C,2018-Q1,4.0
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GB:P:A:A,2018-Q1,160.0
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GB:P:A:B,2018-Q1,176.4
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GB:P:A:C,2018-Q1,-16.4
Greece,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GR:P:A:A,2018-Q1,119.7
Greece,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GR:P:A:B,2018-Q1,143.3
Greece,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GR:P:A:C,2018-Q1,-23.6
Ireland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IE:P:A:A,2018-Q1,258.0
Ireland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IE:P:A:B,2018-Q1,343.8
Ireland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IE:P:A:C,2018-Q1,-85.7
Italy,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IT:P:A:A,2018-Q1,111.1
Italy,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IT:P:A:B,2018-Q1,130.0
Italy,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IT:P:A:C,2018-Q1,-19.0
Japan,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:JP:P:A:A,2018-Q1,155.6
Japan,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:JP:P:A:B,2018-Q1,150.0
Japan,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:JP:P:A:C,2018-Q1,5.6
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:LU:P:A:A,2018-Q1,370.0
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:LU:P:A:B,2018-Q1,416.8
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:LU:P:A:C,2018-Q1,-46.8
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NL:P:A:A,2018-Q1,273.5
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NL:P:A:B,2018-Q1,294.3
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NL:P:A:C,2018-Q1,-20.7
Norway,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NO:P:A:A,2018-Q1,240.9
Norway,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NO:P:A:B,2018-Q1,248.2
Norway,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NO:P:A:C,2018-Q1,-7.2
Portugal,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:PT:P:A:A,2018-Q1,173.7
Portugal,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:PT:P:A:B,2018-Q1,220.8
Portugal,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:PT:P:A:C,2018-Q1,-47.1
Sweden,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:SE:P:A:A,2018-Q1,242.5
Sweden,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:SE:P:A:B,2018-Q1,248.5
Sweden,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:SE:P:A:C,2018-Q1,-6.0
United States,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:US:P:A:A,2018-Q1,151.7
United States,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:US:P:A:B,2018-Q1,158.8
United States,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:US:P:A:C,2018-Q1,-7.2
Euro area,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:XM:P:A:A,2018-Q1,162.5
Euro area,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:XM:P:A:B,2018-Q1,175.7
Euro area,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:XM:P:A:C,2018-Q1,-13.3
Austria,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AT:P:A:A,2018-Q2,141.7
Austria,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AT:P:A:B,2018-Q2,149.8
Austria,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AT:P:A:C,2018-Q2,-8.1
Australia,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AU:P:A:A,2018-Q2,195.8
Australia,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AU:P:A:B,2018-Q2,204.0
Australia,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AU:P:A:C,2018-Q2,-8.2
Belgium,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:BE:P:A:A,2018-Q2,212.9
Belgium,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:BE:P:A:B,2018-Q2,227.5
Belgium,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:BE:P:A:C,2018-Q2,-14.6
Canada,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:CA:P:A:A,2018-Q2,216.0
Canada,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:CA:P:A:B,2018-Q2,209.4
Canada,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:CA:P:A:C,2018-Q2,6.5
Germany,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DE:P:A:A,2018-Q2,120.1
Germany,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DE:P:A:B,2018-Q2,122.6
Germany,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DE:P:A:C,2018-Q2,-2.5
Denmark,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DK:P:A:A,2018-Q2,235.7
Denmark,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DK:P:A:B,2018-Q2,264.5
Denmark,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DK:P:A:C,2018-Q2,-28.8
Spain,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:ES:P:A:A,2018-Q2,158.4
Spain,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:ES:P:A:B,2018-Q2,209.2
Spain,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:ES:P:A:C,2018-Q2,-50.8
Finland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FI:P:A:A,2018-Q2,187.6
Finland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FI:P:A:B,2018-Q2,188.7
Finland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FI:P:A:C,2018-Q2,-1.0
France,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FR:P:A:A,2018-Q2,204.0
France,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FR:P:A:B,2018-Q2,199.4
France,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FR:P:A:C,2018-Q2,4.6
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GB:P:A:A,2018-Q2,159.2
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GB:P:A:B,2018-Q2,175.7
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GB:P:A:C,2018-Q2,-16.5
Greece,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GR:P:A:A,2018-Q2,119.0
Greece,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GR:P:A:B,2018-Q2,143.0
Greece,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GR:P:A:C,2018-Q2,-24.1
Ireland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IE:P:A:A,2018-Q2,259.6
Ireland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IE:P:A:B,2018-Q2,341.8
Ireland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IE:P:A:C,2018-Q2,-82.3
Italy,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IT:P:A:A,2018-Q2,111.2
Italy,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IT:P:A:B,2018-Q2,129.5
Italy,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IT:P:A:C,2018-Q2,-18.4
Japan,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:JP:P:A:A,2018-Q2,156.1
Japan,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:JP:P:A:B,2018-Q2,149.8
Japan,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:JP:P:A:C,2018-Q2,6.3
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:LU:P:A:A,2018-Q2,370.1
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:LU:P:A:B,2018-Q2,417.3
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:LU:P:A:C,2018-Q2,-47.3
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NL:P:A:A,2018-Q2,269.4
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NL:P:A:B,2018-Q2,294.0
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NL:P:A:C,2018-Q2,-24.6
Norway,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NO:P:A:A,2018-Q2,238.5
Norway,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NO:P:A:B,2018-Q2,248.8
Norway,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NO:P:A:C,2018-Q2,-10.3
Portugal,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:PT:P:A:A,2018-Q2,170.5
Portugal,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:PT:P:A:B,2018-Q2,218.8
Portugal,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:PT:P:A:C,2018-Q2,-48.3
Sweden,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:SE:P:A:A,2018-Q2,242.4
Sweden,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:SE:P:A:B,2018-Q2,249.4
Sweden,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:SE:P:A:C,2018-Q2,-7.0
United States,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:US:P:A:A,2018-Q2,152.3
United States,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:US:P:A:B,2018-Q2,158.6
United States,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:US:P:A:C,2018-Q2,-6.3
Euro area,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:XM:P:A:A,2018-Q2,163.1
Euro area,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:XM:P:A:B,2018-Q2,175.6
Euro area,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:XM:P:A:C,2018-Q2,-12.5
Austria,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AT:P:A:A,2018-Q3,141.8
Austria,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AT:P:A:B,2018-Q3,149.6
Austria,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AT:P:A:C,2018-Q3,-7.9
Australia,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AU:P:A:A,2018-Q3,195.9
Australia,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AU:P:A:B,2018-Q3,204.4
Australia,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AU:P:A:C,2018-Q3,-8.5
Belgium,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:BE:P:A:A,2018-Q3,209.5
Belgium,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:BE:P:A:B,2018-Q3,227.7
Belgium,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:BE:P:A:C,2018-Q3,-18.2
Canada,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:CA:P:A:A,2018-Q3,215.2
Canada,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:CA:P:A:B,2018-Q3,210.7
Canada,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:CA:P:A:C,2018-Q3,4.5
Germany,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DE:P:A:A,2018-Q3,121.2
Germany,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DE:P:A:B,2018-Q3,122.3
Germany,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DE:P:A:C,2018-Q3,-1.1
Denmark,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DK:P:A:A,2018-Q3,235.3
Denmark,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DK:P:A:B,2018-Q3,263.9
Denmark,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DK:P:A:C,2018-Q3,-28.6
Spain,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:ES:P:A:A,2018-Q3,156.7
Spain,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:ES:P:A:B,2018-Q3,207.0
Spain,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:ES:P:A:C,2018-Q3,-50.4
Finland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FI:P:A:A,2018-Q3,187.6
Finland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FI:P:A:B,2018-Q3,189.5
Finland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FI:P:A:C,2018-Q3,-1.9
France,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FR:P:A:A,2018-Q3,205.6
France,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FR:P:A:B,2018-Q3,200.6
France,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FR:P:A:C,2018-Q3,4.9
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GB:P:A:A,2018-Q3,157.7
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GB:P:A:B,2018-Q3,175.0
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GB:P:A:C,2018-Q3,-17.3
Greece,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GR:P:A:A,2018-Q3,118.8
Greece,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GR:P:A:B,2018-Q3,142.7
Greece,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GR:P:A:C,2018-Q3,-23.9
Ireland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IE:P:A:A,2018-Q3,257.1
Ireland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IE:P:A:B,2018-Q3,339.7
Ireland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IE:P:A:C,2018-Q3,-82.6
Italy,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IT:P:A:A,2018-Q3,110.7
Italy,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IT:P:A:B,2018-Q3,129.0
Italy,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IT:P:A:C,2018-Q3,-18.3
Japan,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:JP:P:A:A,2018-Q3,157.5
Japan,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:JP:P:A:B,2018-Q3,149.7
Japan,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:JP:P:A:C,2018-Q3,7.8
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:LU:P:A:A,2018-Q3,370.0
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:LU:P:A:B,2018-Q3,417.7
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:LU:P:A:C,2018-Q3,-47.7
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NL:P:A:A,2018-Q3,266.7
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NL:P:A:B,2018-Q3,293.6
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NL:P:A:C,2018-Q3,-26.9
Norway,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NO:P:A:A,2018-Q3,234.6
Norway,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NO:P:A:B,2018-Q3,249.1
Norway,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NO:P:A:C,2018-Q3,-14.5
Portugal,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:PT:P:A:A,2018-Q3,169.2
Portugal,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:PT:P:A:B,2018-Q3,216.8
Portugal,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:PT:P:A:C,2018-Q3,-47.6
Sweden,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:SE:P:A:A,2018-Q3,243.3
Sweden,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:SE:P:A:B,2018-Q3,250.4
Sweden,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:SE:P:A:C,2018-Q3,-7.0
United States,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:US:P:A:A,2018-Q3,151.8
United States,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:US:P:A:B,2018-Q3,158.4
United States,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:US:P:A:C,2018-Q3,-6.6
Euro area,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:XM:P:A:A,2018-Q3,162.9
Euro area,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:XM:P:A:B,2018-Q3,175.4
Euro area,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:XM:P:A:C,2018-Q3,-12.4
Austria,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AT:P:A:A,2018-Q4,141.9
Austria,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AT:P:A:B,2018-Q4,149.5
Austria,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AT:P:A:C,2018-Q4,-7.6
Australia,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AU:P:A:A,2018-Q4,195.5
Australia,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AU:P:A:B,2018-Q4,204.6
Australia,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AU:P:A:C,2018-Q4,-9.2
Belgium,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:BE:P:A:A,2018-Q4,210.6
Belgium,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:BE:P:A:B,2018-Q4,227.9
Belgium,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:BE:P:A:C,2018-Q4,-17.3
Canada,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:CA:P:A:A,2018-Q4,216.2
Canada,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:CA:P:A:B,2018-Q4,212.0
Canada,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:CA:P:A:C,2018-Q4,4.3
Germany,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DE:P:A:A,2018-Q4,120.5
Germany,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DE:P:A:B,2018-Q4,122.0
Germany,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DE:P:A:C,2018-Q4,-1.5
Denmark,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DK:P:A:A,2018-Q4,235.2
Denmark,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DK:P:A:B,2018-Q4,263.3
Denmark,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DK:P:A:C,2018-Q4,-28.2
Spain,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:ES:P:A:A,2018-Q4,154.0
Spain,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:ES:P:A:B,2018-Q4,204.7
Spain,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:ES:P:A:C,2018-Q4,-50.7
Finland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FI:P:A:A,2018-Q4,185.8
Finland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FI:P:A:B,2018-Q4,190.2
Finland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FI:P:A:C,2018-Q4,-4.3
France,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FR:P:A:A,2018-Q4,206.5
France,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FR:P:A:B,2018-Q4,201.9
